Name	Set	ImageFile	Rarity	Info	Type	Affil	Class	Int/Rng	Cun/Wpn	Str/Shd	Points	Region	Span	Icons	Staff	Species	Persona	Command	Reports	Text
Seven of Nine *BORG	Borg	sevenofnineborg	R	61 R	PERSONNEL	BORG		7	7	7				[Com][Nav][Def][P][DQ]		Drone				* ENGINEER  * Stellar  Cartography * Computer  Skill * Physics  * May  apply [Com], [Nav], and [Def] to staffing. * May  draw a card in place of your normal card play.
Seven of Nine*	Voy	sevenofninefed	R	171* R	PERSONNEL	FEDERATION/NON-ALIGNED	ENGINEER	7	9	9				(STF)[Com][Nav][Def][Voy][DQ]						ENGINEER * SCIENCE  * Stellar  Cartography x2 * Physics  * Exobiology * Computer  Skill x2 * Music
SHAKA, WHEN THE WALLS FELL	Premiere	shakawhenthewallsfell	U	U	DILEMMA	Space/Planet														Must have 2 Diplomacy + CUNNING>30 to communicate and proceed.
Shakaar Edon	DS9	shakaaredon	R	R	PERSONNEL	BAJORAN	CIVILIAN	8	8	8				(STF)[DS9]			Shakaar Edon			CIVILIAN * SECURITY  * Resistance  x2 * Leadership  * Geology * Other  Bajorans present are STRENGTH +2.
SHAPE-SHIFT	Dom	shapeshift	U	U	INTERRUPT									[Dom]						Allows your Founder in play to morph into a different Founder (exchange it with one in hand OR discard it to download one there). (Immune to Amanda Rogers.)
SHAPE-SHIFT INHIBITOR	AGT	shapeshiftinhibitor	P	3 P	EVENT									[Ref]						Plays on table. Each player must first discard a personnel card in order to download a non-[Borg] personnel. (Immune to Kevin Uxbridge.)
Sharat	DS9	sharat	U	U	PERSONNEL	NON-ALIGNED	V.I.P.	4	5	7				(STF)[DS9]					War Council	V.I.P. * Diplomacy  * Exobiology  * Treachery  * Computer  Skill
Shelby	Premiere	shelby	R	R	PERSONNEL	FEDERATION	OFFICER	6	7	4				(CMD)						OFFICER * Leadership  * Exobiology
Sheriff Worf	HA	sheriffworf	R	114 R	PERSONNEL	NON-ALIGNED	SECURITY	8	7	10				[HA]			Worf			SECURITY * STRENGTH  +1 for each opposing SECURITY personnel present. * Leadership * Computer  Skill * Law
Sherlock Holmes	HA	sherlockholmes	R	115 R	PERSONNEL	NON-ALIGNED	CIVILIAN	8	12	12				[HA]			Data		War Council	CIVILIAN * Biology  * Physics  * Music  * Computer  Skill * At  start of your turn, you may draw cards (without downloading) until your hand is equal to opponent's.
SHERMAN'S PEAK	TWT	shermanspeak	U	119 U	TIME LOCATION	Planet						2267 Sherman's Planet		[TWT]						Seeds or plays on table; download Deep Space Station K-7 here. Any players may download Organian Peace Treaty. If a Tribble Bomb at this location is nullified by being examined, also nullifies Hero of the Empire. Native to this timeline: all cards with both /OS\ icon and [AU] icon (except [MQ] cards).
SHIP SEIZURE	Premiere	shipseizure	C	C	INTERRUPT															If your ship has tractor beams, tow away (discard) any empty ship in the same orbit as your own ship (except empty ships at their outpost).
SHIPWRECK	FC	shipwreck	R	R	INTERRUPT									[FC]						Suspends ALL ship attribute enhancements for the rest of this turn. (May be played at start of battle.) OR Nullifies all Wall of Ships cards in play.
SHOT IN THE BACK	FC	shotintheback	C	C	DILEMMA	Planet								FC						Stops SECURITY androids and OFFICER androids, if any present. Otherwise, kills one non-android Away Team member (opponent's choice).
Sigmund Freud	HA	sigmundfreud	R	116 R	PERSONNEL	NON-ALIGNED	MEDICAL	6	8	4				[Holo][HA]						MEDICAL * Your  personnel and equipment may report where present (if [AU]). * Biology  \DL/ Alternate  Universe Door
Silaran Prin	Dom	silaranprin	U	U	PERSONNEL	CARDASSIAN	CIVILIAN	2	9	5				[Nem,R,Purple][Dom]						CIVILIAN * Smuggling  * Treachery  * ENGINEER  * Exobiology  * Each  Shakaar resistance cell member in play has [Nem,L,Purple].
Sirna Kolrami	Premiere	sirnakolrami	U	U	PERSONNEL	FEDERATION	V.I.P.	7	9	2				(CMD)						V.I.P. * Leadership
Sirol	QC	sirol	U	U	PERSONNEL	ROMULAN	OFFICER	7	8	7				(CMD)				Terix		OFFICER * Diplomacy  * Leadership  * Navigation  * ENGINEER  * Treachery
SISKO 197 SUBROUTINE	Dom	sisko197subroutine	U	U	EVENT									[Hidden][Dom]						Seeds or plays on table. Plays on your Nor's Ops. Nor may not be moved or commandeered. Any player may nullify with 4 Computer Skill present. (Immune to Kevin Uxbridge.)
Sisters of Duras	Fajo	sistersofduras	P	P	PERSONNEL	ROMULAN/KLINGON	V.I.P.+V.I.P.	2+2	8+8	8+7				(STF)(STF)[Fajo]			Lursa, B'Etor	Cha'Joh		Lursa: V.I.P. * Treachery  * Leadership  * Geology  * Greed.  B'Etor: V.I.P. * Treachery  * Physics  * Youth  * Greed --- Do not work with Klingons who have Honor.
SKULLDUGGERY	DS9	skullduggery	C	C	DILEMMA	Space/Planet								DS9						One personnel (random selection) is killed (only "stopped" if that personnel has Treachery OR Acquisition OR Greed OR Smuggling OR INTEGRITY<5). Mission continues.
SLEEPER TRAP	Dom	sleepertrap	R	R	DILEMMA	Space/Planet								Dom						Opponent may download to one site or planet here up to three different % Cardassians and one hand weapon. They may (if possible) initiate personnel battle. Discard dilemma. Empok Nor related.
SMALL CLOAKING DEVICE	ROA	smallcloakingdevice	U	U	EQUIPMENT									[4][ROA]						Reports for free if your Smuggling or Acquisition present. While aboard your ship with no staffing requirements, ship has a Cloaking Device. Counts down only while engaged.
SMALL OVERSIGHT	HA	smalloversight	C	40 C	INTERRUPT									[HA]						Plays on a [Holo] personnel who is not wearing a Mobile Holo-Emitter. [Holo] and (CMD) personnel present are each attributes all -3 and lose first-listed skill for rest of turn.
Smiley	MM	smiley	R+	86 R+	PERSONNEL	FEDERATION	ENGINEER	6	7	8				(CMD)[TE][MM][MQ]			(Miles O'Brien)	Defiant, Rebel Interceptor		ENGINEER * Navigation  * Transporter  Skill * Leadership  * Anthropology \DL/ Construct  Starship OR Crossover
SMOKE BOMB	DS9	smokebomb	U	U	INTERRUPT									[DS9]						Plays at start of personnel battle; any of all of your non-Borg personnel may hide from that battle. OR Plays to "stop" one crew or Away Team where you have personnel present.
SMOOTH AS AN ANDROID'S BOTTOM?	TMP	smoothasanandroids	U	25 U	INTERRUPT									[TMP]						Once every turn, plays to reveal the bottom three cards of your draw deck. Take any non-personnel into hand; discard others. OR Prevents the death of any one Youth personnel.
SNIPER	BOG	sniper	U	U	INCIDENT									[Hidden][BOG]						Seeds or plays on table. At start of each battle you initiate on a planet, if you have a phaser or disruptor present, target one personnel present. (Cumulative.) Immediately probe (then place probe card beneath draw deck): (STF),[KW],[EQ],[Maq]: Hit. Target(s) mortally wounded. [OBJ],[INT],[DRY],[AU]: Glancing blow. Target(s) stunned.  [Fed],[Fer],[Borg],(CMD), Sniper spotted. Discard incident.
Sojef	AGT	sojef	P	30 P	PERSONNEL	NON-ALIGNED	CIVILIAN	8	8	7						Ba'ku			War Council	CIVILIAN * Leadership  * Diplomacy  * Biology  * Archaeology
Solkar	FC	solkar	R	R	PERSONNEL	NON-ALIGNED	OFFICER	9	8	8				(CMD)[AU][FC]		Vulcan		Vulcan Lander		OFFICER * Exobiology  * Mindmeld  \DL/ Live  Long and Prosper
Sons of Mogh	EP	sonsofmogh	P	5 P	PERSONNEL	KLINGON	OFFICER+SECURITY	8+8	6+6	10				(CMD)(CMD)[P]			Kurn, Worf			Kurn: OFFICER * Honor  * Computer  Skill * Navigation   Worf: SECURITY * Honor  x2 * Navigation  * Diplomacy
Sonya Gomez	QC	sonyagomez	U	U	PERSONNEL	FEDERATION	ENGINEER	7	6	3				(STF)						ENGINEER * Physics  * Youth  * Suspends  Anti-Matter Pod where present.
Soren	Premiere	soren	U	U	PERSONNEL	FEDERATION	SCIENCE	6	6	3				(STF)						SCIENCE * Astrophysics
Sorus	DS9	sorus	R	R	PERSONNEL	ROMULAN	ENGINEER	5	8	7				(STF)[DS9]						ENGINEER * Cybernetics  * Computer  Skill * Physics  * Treachery
Sovak	ROA	sovak	U	U	PERSONNEL	FERENGI	OFFICER	4	6	7				(STF)[ROA]						OFFICER * Computer  Skill * Archaeology  * Greed  * SCIENCE
SPACEDOCK	Premiere	spacedock	C	C	EVENT															Plays on outpost. Instantly repairs your damaged ships if they stop here. Also repairs non- aligned ships.
SPACEDOOR	OTSD	spacedoor	P	P	DOORWAY									[P]						Open: Seeds on your outpost during outpost phase. Spacedoor is now open, reducing outpost's SHIELDS by 8 (cumulative). In place of your normal card play, you may either "overhaul" one of your empty ships here (return ship to hand; nullifies any Static Warp Bubbles affecting you) OR download to here one Spacedock or % ship that is compatible with outpost. Then close (flip over or add token) Spacedoor. ---------- Closed: Spacedoor is now closed (no longer reduces SHIELDS) and immune to cards which close doorways. While opponent has Red Alert in play, this outpost is also on "alert status" and you may use that event's game text at this outpost. At end of any of your turns, you may re-open (flip over or remove token) this Spacedoor by discarding any card from hand.
SPACEDOOR*	OTSD	spacedoorclosed	P	P	DOORWAY									[P]						Open: Seeds on your outpost during outpost phase. Spacedoor is now open, reducing outpost's SHIELDS by 8 (cumulative). In place of your normal card play, you may either "overhaul" one of your empty ships here (return ship to hand; nullifies any Static Warp Bubbles affecting you) OR download to here one Spacedock or % ship that is compatible with outpost. Then close (flip over or add token) Spacedoor. ---------- Closed: Spacedoor is now closed (no longer reduces SHIELDS) and immune to cards which close doorways. While opponent has Red Alert in play, this outpost is also on "alert status" and you may use that event's game text at this outpost. At end of any of your turns, you may re-open (flip over or remove token) this Spacedoor by discarding any card from hand.
SPACE-TIME PORTAL	OTSD	spacetimeportal	P	P	DOORWAY									[P]						Seeds or plays on table. Your [AU] cards may seed and play (one per turn). At any time, you may discard this doorway from table to download Alternate Universe Door OR nullify Temporal Rift OR play as a second Wormhole interrupt OR return one of your ships in play, and all cards on it, to owners' hands OR (once per game) allow one [AU] ship to report with crew (each must be [AU]) at any location.
SPATIAL RIFT	Voy	spatialrift	C	23 C	DILEMMA	Space/Planet								Voy						Two personnel present (random selection) "disappear" (discarded) unless their combined CUNNING>14. To get past requires Astrophysics and 2 ENGINEER.
SPHERE ENCOUNTER	EFC	sphereencounter	P	P	INCIDENT									[Borg-Only][Hidden][P]						Seeds or plays on table. Each of your Borg spheres is RANGE +4. Also, whenever opponent initiates an attempt of one of your [S] missions that you have scouted, you may report with crew to that location any number of Borg spheres (downloading spheres, personnel and equipment as desired); each may initiate battle (regardless of your current objective) or move away.
SPIRAL-WAVE DISRUPTOR	BOG	spiralwavedisruptor	C	C	TACTIC									[BOG]						ATTACK 1DEFENSE 2 ATTACK bonus +2 if you have a Cardassian ship firing. Hit = >>. Direct hit = >>>>. Casualties: randomly kills one personnel (on a Nor, one personnel at site of opponent's choice). RANGE -2WEAPONS -1SHIELDS -1 HULL -30%
Spock	2PG	spock	F	F	PERSONNEL	FEDERATION	V.I.P.	9	10	7				(CMD)		Vulcan	Spock		Office of the President	V.I.P. * Diplomacy  x2 * Computer  Skill * Leadership  * SCIENCE  * Mindmeld
Spot	Fajo	spot	P	P	PERSONNEL	NEUTRAL	ANIMAL	4	2	*				[Fajo]						ANIMAL * Has  9 lives ("stopped" when killed first 8 times). ** Once every turn, may "pounce" to disable until end of turn any one personnel present (and herself).
St. John Talbot	TMP	stjohntalbot	U	63 U	PERSONNEL	FEDERATION	CIVILIAN	6	6	5				[AU][TMP]/Films\					Office of the President	CIVILIAN * Diplomacy  * Computer  Skill * Law * May  work with Sybok, General Korrd, and Caithlin Dar.
STARFLEET PHASER PISTOL	Ent	starfleetphaserpistol	P	41 P	EQUIPMENT									[AU][P]						Starfleet use only. Each of your personnel present is STRENGTH +2 (or +3 if that personnel has Security). (Cumulative).
STARFLEET TYPE I PHASER	BOG	starfleettype1phaser	C	C	EQUIPMENT									[BOG]						Federation use only. Reports for free. Each of your personnel present is STRENGTH +1. (Cumulative.) May report to a just-initiated personnel battle involving your [Fed] card(s).
STARFLEET TYPE I PHASER *TWT	TWT	starfleettype1phasertwt	S	C	EQUIPMENT									[BOG]						Federation use only. Reports for free. Each of your personnel present is STRENGTH +1. (Cumulative.) May report to a just-initiated personnel battle involving your [Fed] card(s).
STARFLEET TYPE II PHASER	Premiere	starfleettypeiiphaser	C	C	EQUIPMENT															Federation and Non-Aligned use only. Each of your personnel STRENGTH +2 where present. (Cumulative.)
STARFLEET TYPE II PHASER *VOY	Voy	starfleettypeiiphaservoy	S	42 S	EQUIPMENT									[Voy]						Federation and Non-Aligned use only. Each of your personnel present is STRENGTH +2. (Cumulative.)
STARFLEET TYPE III PHASER RIFLE	FC	starfleetphaserrifle	U	U	EQUIPMENT									[FC]						Federation and Non-Aligned use only. Each of your personnel present is STRENGTH +3, but loses 1 Diplomacy unless aboard your ship. (Cumulative.)
STARFLEET TYPE III PHASER RIFLE *VOY	Voy	starfleetphaserriflevoy	U	43 U	EQUIPMENT									[Voy]						Federation and Non-Aligned use only. Each of your personnel present is STRENGTH +3, but loses 1 Diplomacy unless aboard your ship. (Cumulative.)
STARRY NIGHT	ROA	starrynight	R	R	ARTIFACT									[ROA]						If earned at same location as Quark's Bar, a Trading Post or a homeworld, immediately download up to two "use as Equipment card" artifacts. Discard Starry Night.
Starship Enterprise	TWT	starshipenterprise	R+	108 R+	SHIP	FEDERATION	CONSTITUTION	6	5	6				[AU][TWT]/OS\	/OS\			Willard Decker, Captain Kirk, Admiral Kirk		Tractor Beam \DL/ Any  Federation /OS\ personnel
Starship Enterprise *TMP	TMP	starshipenterprisetmp	R	112 R	SHIP	FEDERATION	CONSTITUTION	6	6	6				[AU][TMP]/Films\	/Films\			Admiral Kirk, Captain Spock, Willard Decker		Tractor Beam \DL/ Crew  Reassignment
Starship Excelsior	TMP	starshipexcelsior	R	113 R	SHIP	FEDERATION	EXCELSIOR	6	6	7				[AU][TMP]/Films\	/Films\(STF)			Captain Styles, Captain Sulu		Tractor Beam, Stellar Cartography
STATIC WARP BUBBLE	Premiere	staticwarpbubble	C	C	EVENT															Plays on table. Opponent must discard one card before ending each turn. (Not cumulative.)
Stefan DeSeve	AU	stefandeseve	R	R	PERSONNEL	ROMULAN/FEDERATION	V.I.P.	5	8	5				(STF)[AU]						V.I.P. * Romulan:  Treachery, Greed * Federation:  OFFICER, Treachery, INTEGRITY -1
Stefan DeSeve*	AU	stefandeseve	R	R	PERSONNEL	ROMULAN/FEDERATION	V.I.P.	5	8	5				(STF)[AU]						V.I.P. * Romulan:  Treachery, Greed * Federation:  OFFICER, Treachery, INTEGRITY -1
STELLAR FLARE	BOG	stellarflare	U	U	DILEMMA	Space								BOG						Damages and "stops" all ships at this location except those that are docked, landed, or carried OR have 2 Navigation and Astrophysics aboard OR have SHIELDS>11. Discard dilemma.
Stolen Attack Ship	TWT	stolenattackship	R	102 R	SHIP	CARDASSIAN/FEDERATION	ATTACK SHIP	6	8	8				[TWT]	(STF)			Kira, Luaran		Energy Dampener, Invasive Transporters
STOLEN CLOAKING DEVICE	MM	stolencloakingdevice	U	22 U	EQUIPMENT									[MM]						May not report aboard a [MQ] facility. While on your ship with at least one staffing icon, ship has a Cloaking Device. On a [Fed] non-[MQ] ship, to cloak requires [Fed] Treachery aboard.
STOP BOMBARDMENT	Voy	stopbombardment	U	102 U	MISSION	Planet,[FEDERATION][NON-ALIGNED]					35	Nezu colony	3	[Voy](DQ)						Astrophysics + ENGINEER + Geology + Leadership
STOP FIRST CONTACT	FC	stopfirstcontact	R	R	OBJECTIVE									[Borg-Only][3][FC]						Suspends your Assimilate Homeworld targeting Earth, if scouting complete. Target Montana Missile Complex (downloading as necessary). If you have a staffed ship orbiting that location, you may probe: [Def]: Phoenix destroyed here. Timeline disrupted in 2063. Discard objective. Suspended objective completed. May download one Objective card.
STORAGE COMPARTMENT DOOR	TWT	storagecompartmentdoor	C	10 C	DOORWAY									[TWT]						Place one atop Tribble side deck during the seed phase. Side deck is now open and in play. Once each turn, you may draw up to 3 cards from side deck, then play or discard each. OR Stock in deck and play (once each turn) to download from your Tribble side deck one Trouble or Tribble card, or to nullify any card that is closing another Storage Compartment Door; then discard doorway.
STRAFING RUN	BOG	strafingrun	C	C	TACTIC									[BOG]						ATTACK 4 DEFENSE -1 ATTACK bonus +1 if you have a Hideki-class ship firing. Hit = v>. Direct hit = v>>>. Bridge damaged: randomly kills one OFFICER, Leadership or Navigation personnel (on a Nor, one personnel in Ops). RANGE -1WEAPONS -1SHIELDS -1 HULL -20%
STRANGE BEDFELLOWS	ROA	strangebedfellows	U	U	DILEMMA	Space/Planet								ROA						If a male and female present, lowest INTEGRITY male and lowest INTEGRITY female are "stopped" (discarded if their INTEGRITY numbers are the same).
STRATEGEMA	AGT	strategema	P	8 P	INCIDENT									[Ref]						Seeds or plays on table. Launch Portal, Ooby Dooby, Revolving Door, and Rogue Borg Mercenaries are nullified. Q's Planet may not be played. Your opponent may not initiate battle against your card at a homeworld matching that card's affiliation. For each personnel or ship card a player reports using Barzan Wormhole or Caretaker's Array, that player loses 10 points (even if playing Borg).
STRATEGIC DIVERSION	Premiere	strategicdiversion	U	U	MISSION	Planet,[ROMULAN]					30	Nelvana III	3	(AQ)						Treachery x 3 + STRENGTH>30
STRICT DRESS CODE	FC	strictdresscode	R	R	DILEMMA	Space								FC						Sacrifice one Diplomacy, one [Holo] or two [Def] personnel present (killed); otherwise, one personnel present is killed (opponent's choice). Mission continues.
STRIKE THREE	Dom	strikethree	C	C	INTERRUPT									[Dom]						Plays at start of personnel battle. Each of your shape-shifters present may stun up to three opposing non-shape-shifters (random selection) and is exposed if infiltrating.
STUDY "HOLE IN SPACE"	Premiere	studyholeinspace	R	R	MISSION	Space,[FEDERATION][KLINGON]					35	Morgana Quadrant	4	(AQ)						Leadership + Diplomacy + INTEGRITY>40
STUDY COMETARY CLOUD	SD2	studycometarycloud	P	P	MISSION	Planet,[ROMULAN][NON-ALIGNED][CARDASSIAN][FERENGI]					30	Cruses System	3	[P](AQ)						Navigation + SCIENCE + Physics + Computer Skill
STUDY INTERMENT SITE	Voy	studyintermentsite	C	103 C	MISSION	Planet,[FEDERATION][KLINGON][NON-ALIGNED][BAJORAN][VIDIIAN]					35	Ringed planet	4	[Voy](DQ)						SCIENCE + Astrophysics + Honor + Anthropology OR Harry Kim
STUDY INTERSTELLAR COLONY	Voy	studyinterstellarcolony	U	104 U	MISSION	Space,[FEDERATION][KLINGON][BAJORAN][CARDASSIAN]					35	Interstellar swarm	2	[Voy](DQ)						SCIENCE + Anthropology + Exobiology   Ocampa are disabled while here.
STUDY LONKA PULSAR	Premiere	studylonkapulsar	R	R	MISSION	Space,[ROMULAN]					40	Lonka Cluster	2	(AQ)						Navigation + Astrophysics + Stellar Cartography
STUDY NEBULA	Premiere	studynebula	R	R	MISSION	Space,[FEDERATION]					35	Gamma Erandi	4	(AQ)						Astrophysics + Stellar Cartography + CUNNING>40
STUDY PLASMA STREAMER	Premiere	studyplasmastreamer	C	C	MISSION	Space,[FEDERATION][ROMULAN][KLINGON]					30	Igo System	4	(AQ)						Astrophysics + Youth
STUDY PROTONEBULA	HA	studyprotonebula	U	45 U	MISSION	Space,Any crew may attempt mission.					30	Protonebula	4	[HA](DQ)						Astrophysics + Biology + Navigation Player: Once per game, you may download One to your ship here. Opponent: Once per game, you may download a [       Q] objective.
STUDY STELLAR COLLISION	Premiere	studystellarcollision	C	C	MISSION	Space,[FEDERATION][ROMULAN][KLINGON]					25	Detrian System	3	(AQ)						Stellar Cartography
Subcommander Tal	MM	subcommandertal	U	112 U	PERSONNEL	ROMULAN	OFFICER	7	8	7				(CMD)[AU][MM]/OS\						OFFICER * SECURITY  * Computer  Skill * Anthropology \DL/ Intruder  Alert\DL/ OR Classic Disruptor
SUBJUGATE PLANET	Dom	subjugateplanet	C	C	OBJECTIVE									[Hidden][Dom]						Seeds or plays on table. Place on a non-homeworld, non-Dominion planet mission you seeded. You may attempt mission using these requirements: Vorta + Treachery + 4 Jem'Hadar + STRENGTH>(point value of mission x2). When you solve mission, you may download Remote Supply Depot (plus one Ketracel-White) here; discard objective.
SUBSECTION Q, PARAGRAPH 10	QC	subsectionqparagraph10	C	C	Q INTERRUPT															Every player with more than ten cards in hand loses 1 point for each card in excess of ten. (May not be nullified.)
SUBSPACE FRACTURE	Voy	subspacefracture	R	24 R	DILEMMA	Space/Planet					5			Voy						Entire crew or Away Team is killed unless ENGINEER, SCIENCE, Leadership, and CUNNING>28 present. Discard dilemma.
SUBSPACE INTERFERENCE	Premiere	subspaceinterference	C	C	INTERRUPT															Prevents (nullifies) reception of Incoming Message OR Hail OR Subspace Schism. Both cards are discarded.
SUBSPACE SCHISM	Premiere	subspaceschism	U	U	INTERRUPT															Plays within five seconds of either players' card draw. That player must discard that card and re-draw.
SUBSPACE SEAWEED	DS9	subspaceseaweed	U	U	DILEMMA	Space								DS9						Unless 3 Navigation aboard, place on ship. Reduces RANGE by 3 (cumulative). Your Transporter Skill may subsequently beam dilemma to your Science Lab at same location.
SUBSPACE SHOCK WAVE	TMP	subspaceshockwave	C	8 C	DILEMMA	Space								TMP						Ship damaged and two crew members killed (random selection) unless a Navigation personnel who has CUNNING>7 aboard. Discard dilemma.
SUBSPACE TRANSPORTER	TWT	subspacetransporter	C	18 C	EVENT									[TWT]						Plays on your ship. Each turn, ship may beam one of your Treachery personnel to and/or from anywhere at same or adjacent location. Nullified only by Subspace Interference.
SUBSPACE WARP RIFT	Premiere	subspacewarprift	C	C	EVENT															Plays crosswise on any spaceline location. Any ship passing over here without stopping incurs damage.
SUICIDAL ATTACK	TWT	suicidalattack	C	37 C	INTERRUPT									[TWT]						Plays to kill one personnel (your choice) who is escorting your Breen or Romulan as a captive OR who just engaged one of your personnel in combat. Your personnel also dies.
Sulan	Voy	sulan	R	187 R	PERSONNEL	VIDIIAN	MEDICAL	2	8	5				(CMD)[Voy][DQ]				Vidiian Interceptor		MEDICAL * MEDICAL  * Transporter  Skill * Exobiology  x2 * Treachery * Computer  Skill x2 * Physics
Sullin	Borg	sullin	R	115 R	PERSONNEL	NON-ALIGNED	SCIENCE	5	12	1				[Borg][DQ]						SCIENCE * SCIENCE  * ENGINEER  * Geology  x2 * Physics  x2
SUPERNOVA	Premiere	supernova	R	R	EVENT															You must have Tox Uthat on table. Place atop any mission. Everything there is destroyed (discarded), but leave Mission card underneath for span reference.
Surat	Borg	surat	R	94 R	PERSONNEL	KAZON	OFFICER	4	7	8				(CMD)[Borg][DQ]				Kazon Raider	The Kazon Collective (Mostral)	OFFICER * Leadership  * Treachery  * Diplomacy  * SECURITY  * Astrophysics
Surmak Ren	DS9	surmakren	R	R	PERSONNEL	BAJORAN	MEDICAL	5	8	5				[DS9]						MEDICAL * SCIENCE  * Biology  * Resistance * May  nullify Aphasia Device where present.
SURPRISE ASSAULT	Dom	surpriseassault	C	C	DILEMMA	Planet								Dom						Unless Leadership, 2 OFFICER and 2 SECURITY present OR 2 hand weapons present, kills 2 personnel (lowest CUNNING first, then lowest STRENGTH). Discard dilemma.
SURVEY INSTABILITY	2PG	surveyinstability	F	F	MISSION	Planet,[FEDERATION]					25	Selcundi Drema Sector	3	(AQ)						Geology + STRENGTH>35
SURVEY MISSION	Premiere	surveymission	C	C	MISSION	Space,[KLINGON]					35	Mars Oscura	5	(AQ)						Stellar Cartography + Physics
SWORD OF KAHLESS	BOG	swordofkahless	R	R	ARTIFACT									[BOG]						Use as equipment card. Where present, your Klingons with Honor are attributes all +3; Kahless is STRENGTH +7 more and may not be killed in personnel battle. (Not duplicatable.)
Sybok	TMP	sybok	U	106 U	PERSONNEL	NON-ALIGNED	CIVILIAN	5	8	8				(CMD)[AU][TMP]/Films\		Vulcan			War Council	CIVILIAN * Leadership  * Treachery  * Mindmeld  * Empathy  * Anthropology  \DL/ Release This Pain  --- Works only with [NA] affiliation.
SYMBIONT DIAGNOSIS	DS9	symbiontdiagnosis	R	R	MISSION	Planet,[FEDERATION]					45	Trill	3	[DS9](AQ)						Trill with symbiont + MEDICAL x3 + OFFICER + Diplomacy x2 + Anthropology + CUNNING>45
SYSTEM 5 DISRUPTORS	DS9	system5disruptors	R	R	EVENT									[DS9]						Plays on your freighter, transport or merchant vessel. Ship is WEAPONS +4, but is SHIELDS -1 and no longer qualifies as a freighter, transport or merchant vessel.
SYSTEM-WIDE CASCADE FAILURE	QC	systemwidecascadefailure	R	R	DILEMMA	Space/Planet														Mission continues, but one android present (your choice) dies at end of turn unless Dr. Soong OR Ira Graves present. Discard dilemma.
Tabor	Voy	taborbaj	R	112 R	PERSONNEL	BAJORAN/FEDERATION	ENGINEER	8	7	6				(STF)[Maq][Voy][DQ]						ENGINEER * Honor  *Youth * SECURITY  * Resistance  * Stellar  Cartography
Tabor*	Voy	taborfed	R	112 R	PERSONNEL	BAJORAN/FEDERATION	ENGINEER	8	7	6				(STF)[Maq][Voy][DQ]						ENGINEER * Honor  *Youth * SECURITY  * Resistance  * Stellar  Cartography
TACHYON DETECTION GRID	Premiere	tachyondetectiongrid	C	C	INTERRUPT															Must have at least four of your ships in play to use. Play on any cloaked ship to detect its presence. Ship is forced to de-cloak for rest of turn.
TACTICAL CONSOLE	Dom	tacticalconsole	U	U	EVENT									[Dom]						Plays on your ship docked at your facility. While you have Miles O'Brien or a SECURITY-classification personnel aboard, ship is weapons +3. (Captain's Order.)
Tahna Los	DS9	tahnalos	R	R	PERSONNEL	BAJORAN	CIVILIAN	3	7	7				(STF)[DS9]						CIVILIAN * Resistance  * Treachery  * Physics  * ENGINEER
Tebok	Premiere	tebok	U	U	PERSONNEL	ROMULAN	OFFICER	5	7	9				(CMD)						OFFICER * Diplomacy  * Leadership  * Navigation
Teero Anaydis	HA	teeroanaydis	R	52 R	PERSONNEL	BAJORAN	CIVILIAN	3	9	7				(CMD)[Maq][HA]					Chamber of Ministers	CIVILIAN * Treachery  * Exobiology  * MEDICAL  * Anthropology  * Computer  Skill
Tekeny Ghemor	DS9	tekenyghemor	R	R	PERSONNEL	CARDASSIAN	V.I.P.	9	8	7				(CMD)[DS9]					Central Command	V.I.P. * Leadership  x2 * Honor  x2 * May  glance at any Cardassian player's [Hidden] card(s).
Telak	QC	telak	U	U	PERSONNEL	ROMULAN	SECURITY	5	6	9				(STF)					Continuing Committee	SECURITY * Treachery  * Tal  Shiar * Cybernetics
TELEPATHIC ALIEN KIDNAPPERS	Premiere	telepathicalienkidnappers	U	U	EVENT															Plays on table. At end of each turn, guess a card type and point to a card in your opponent's hand. Card must be shown. If guessed correctly, card is discarded.
Telok	MM	telok	U	98 U	PERSONNEL	KLINGON	SECURITY	4	6	9				(CMD)[KCA][MM][MQ]						SECURITY * Leadership  * Computer  Skill * Treachery  * Stellar  Cartography
Telok, Bodyguard 2E	MD	ST2E-EN13091	U	13-091 U	PERSONNEL	KLINGON		4	5	7				[AU]	[CMD]	Klingon				[-]Astrometrics [-]Leadership [-]Programming [-]Security " When you play this personnel, if you command three [AU]cards, draw up to two cards.
TEMPORAL CAUSALITY LOOP	Premiere	temporalcausalityloop	R	R	DILEMMA	Space					5									Unless SCIENCE + CUNNING>35, undo your last 2 actions of this turn and end turn. Discard dilemma.
TEMPORAL INVESTIGATIONS	TWT	temporalinvestigations	C	19 C	EVENT									[TWT]						Plays on table. Once every turn, if opponent reports an [AU] personnel or ship to Alpha Quadrant spaceline, you may draw one card OR download Lucsly and/or Dulmer.
TEMPORAL MICRO-WORMHOLE	Voy	temporalmicrowormhole	C	32 C	DOORWAY									[Voy]						Seeds or plays on table. Your [AU] Personnel and Equipment cards may report for duty. Once per game, you may download Space-Time Portal (or nullify its report with crew) OR download Dr. Telek R'Mor. Once each turn (twice per game), you may report a personnel aboard your ship regardless of affiliation, then discard doorway; for rest of game, that personnel may mix with your other affiliations.
